""	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"
"ASV18022|Treponema_2"	0	0	0	0	0.00493632145325304	0	0	0.000310546950817127	0	0.000366154050995273	0	0.00221269063180828	0	0.00109219744798743	0	0	0	0	0.000484585178377475	0.00034976041411633	0.000143852903867028	0.000219970578935067	0.00159772205963774	0.000126274014611707	0.00159208112691655	0.0000603670315518352	0	0.00136663662004594	0.000656893374989986	0.000194432742473833	0.0000349357182783678	0	0.0000758978718236741	0.000220406926287659	0.0000961908426317815
"ASV18181|Treponema_2"	0	0	0	0	0	0	0.0000206872297730611	0	0	0	0.000759878419452888	0.000919117647058824	0	0	0.00147192383577088	0	0	0	0	0	0	0	0.000015819030293443	0	0	0	0.00113386030841	0	0	0	0	0	0	0	0
"ASV18008|Treponema_2"	0	0	0	0	0.000691085003455425	0	0	0.00124218780326851	0.00116158219722443	0	0.0000474924012158055	0	0	0	0	0	0	0	0.00267357339794469	0	0.000143852903867028	0.000206222417751626	0	0	0.0000346104592807947	0.0000603670315518352	0	0	0	0.000842541884053275	0	0	0.00138134126719087	0.000551017315719146	0
"ASV17986|Treponema_2"	0.00399394022861865	0.00822264389626818	0.000830663344013291	0.0034799725820342	0.00459077895152532	0	0.00376507581869712	0.000776367377042817	0.00140612581769273	0.0108181878703149	0.00275455927051672	0.00136165577342048	0.00361247947454844	0.00101228056154932	0.00277160126522815	0.00185664282453203	0	0	0.00120310802907511	0.00110174530446644	0.00243242182902429	0.00211721682225002	0.00257850193783121	0.00111842698656084	0.00484546429931125	0.00217321313586607	0.00309381884151872	0.000785089122154052	0.000336457582311944	0.00199293561035678	0.00150223588596982	0.00101818413223666	0.00179118977503871	0.00421528246525147	0.00265486725663717
"ASV17999|Treponema_2"	0	0	0.0000593330960009493	0	0.00116003554151446	0.0000172081497797357	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000664544786821028	0.000104620293721475	0.0000824889671006503	0	0	0	0	0	0	0	0.0000972163712369163	0.0000174678591391839	0	0.00201888339050973	0	0
"ASV18087|Treponema_2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000261550734303687	0	0	0	0	0	0	0	0.0000320435792678042	0.00285168022294954	0	0	0.00289929870366435	0.00542752055983359	0
"ASV18028|Treponema_2"	0.0000826332461093513	0.0010752688172043	0	0	0.000987264290650607	0	0.000455119055007344	0.00205737354916346	0.000122271810234151	0	0	0.00772739651416122	0	0	0	0	0	0	0	0	0.00107235801064511	0.00177351279266398	0	0.00173175791467484	0.00157477589727616	0.00108660656793303	0	0	0.00243531202435312	0.00174989468226449	0.00288219675796534	0	0.00210996083669814	0	0.000981146594844171
"ASV18033|Treponema_2"	0	0	0	0	0.00138217000691085	0	0.00134466993524897	0.00597802880322969	0	0	0	0	0	0	0	0	0	0	0	0	0.00281167039376463	0.00287336568733932	0	0	0	0	0	0	0.00104141632620364	0.00118279918338248	0.00275992174399106	0	0.000349130210388901	0.000358161255217445	0
"ASV147|Eggerthellaceae_DNF00809"	0.000165266492218703	0.000347881087919039	0.000177999288002848	0.00144120076629699	0.0000987264290650607	0.000292538546255507	0.000393057365688161	0.000116455106556422	0	0	0	0	0	0	0.0000469762926309856	0	0	0	0	0	0.000104620293721475	0.0000549926447337669	0.000427113817922961	0.000126274014611707	0.000432630741009933	0.000402446877012234	0.0000485940132175716	0	0.000336457582311944	0.000664311870118928	0.000157210732252655	0.000397728176654947	0.000151795743647348	0.000303059523645531	0.000211619853789919
"ASV17040|Pirellulaceae_p-1088-a5"	0	0.000158127767235927	0.000593330960009493	0.0000175756191011828	0.000148089643597591	0	0	0.000504638795077831	0.000183407715351226	0	0.0000474924012158055	0.000034041394335512	0	0	0.000234881463154928	0	0	0.0000283844963880728	0	0.0000174880207058165	0.000104620293721475	0.000109985289467534	0.000379656727042632	0.000180391449445296	0.000432630741009933	0.0000201223438506117	0.0000161980044058572	0	0.000640871585356084	0.0000810136426974302	0.000960732252655115	0	0.00207960168796867	0.000247957792073616	0.000692574066948826
"ASV17038|Pirellulaceae_p-1088-a5"	0.00501308359730065	0.00287792536369386	0.000118666192001899	0.000544844192136668	0.000987264290650607	0.000980864537444934	0.000661991352737955	0.000737549008190676	0.000122271810234151	0.00129818254443779	0.000142477203647416	0.000306372549019608	0.000328407224958949	0.0006126961293588	0.0001096113494723	0.000273930908537513	0.00560798796334291	0.00357644654489718	0.000634973682011864	0.00458186142492393	0.00109851308407548	0.000811141509823061	0.000284742545281974	0.000739604942725715	0.00166130204547814	0.000845138441725692	0.00118245432162758	0.00058154749789189	0.00126572138107827	0.00165267831102758	0.000978200111794298	0.00280000636365083	0.00132062296973193	0.0016117256484785	0.00115429011158138
"ASV405|Bacteria"	0	0	0	0	0.0000740448217987955	0	0	0.000155273475408563	0	0.000998601957259836	0	0.000034041394335512	0	0.0000799168864381044	0.0000156587642103285	0	0	0.0000141922481940364	0	0	0.0000915427570062903	0.0000824889671006503	0.0000790951514672151	0.000667448362947596	0.000138441837123179	0.00295798454603992	0.000129584035246858	0	0.0000480653689017063	0.000016202728539486	0.0000524035774175517	0.00022272777892677	0.00044020765657731	0.000123978896036808	0.000211619853789919
"ASV383|Bacteria"	0	0.0000632511068943707	0	0	0.000148089643597591	0	0.0000620616893191833	0.000155273475408563	0.0000611359051170753	0.000166433659543306	0.0000949848024316109	0.000408496732026144	0	0	0.000140928877892957	0.000243494140922234	0	0	0.000100259002422926	0	0.000732342056050322	0.000701156220355527	0.000569485090563948	0.000144313159556237	0.000398020281729139	0.000342079845460399	0.000226772061682001	0.00146840743217702	0.0000640871585356084	0.000113419099776402	0.000576439351593069	0.000413637303721145	0.000394668933483105	0.000041326298678936	0.0000769526741054252
