""	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"
"ASV18124|Treponema_2"	0	0.00198211378276977	0	0	0	0.000147401314819728	0	0	0	0	0.00151845506930385	0	0	0	0	0	0	0	0.0000407855292942064	0	0	0.000390027301911134	0	0	0.0000943856282150105	0	0.000538149773808923	0	0	0.000179036458333333	0.000323659510195275	0	0	0	0.000565415856467116	0.000232969900288883	0.000244907955426752	0	0	0	0.000807884957182097	0.00113086722528783	0.000259323489845865	0	0.00016202203499676	0	0.000237171961530708
"ASV18064|Treponema_2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000272360823619131	0.000376805526481055	0	0.000992555831265509	0.00154590535846935	0.000283156884645031	0.00153016275367471	0.006995947059516	0.00107980178980845	0.00114310327689606	0	0.000981767180925666	0	0	0.000088261253309797	0.000124115675809855	0.000108719286801479	0	0.000655140000569687	0.000159979057287046	0.00126450670188552	0.000991005547476706	0.000871994005041215	0	0	0.000891121192482178	0.000302584345386276	0.00212268905569984
"ASV18144|Treponema_2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000136180411809565	0	0.000270018901323093	0.000372208436724566	0.000782991025718244	0.000125847504286681	0	0	0.000443754160195252	0.000646101852158643	0.000862630208333333	0	0	0	0.000290001260875047	0.00023444072097417	0.00062125306743702	0.000183680966570064	0	0.0000290871013249175	0	0.000570905369742015	0	0	0	0.000275437459494491	0.000275076677623888	0.0000118585980765354
"ASV17985|Treponema_2"	0	0.00471931853040421	0.0100697514490618	0.00661098485966414	0.00491870125898364	0.00937472362253471	0.0182607365482428	0.0137640366648	0.00654112476684467	0.0132329927276075	0.000778694907335306	0.000597815256969982	0.00617861823628534	0.00121150539315304	0.00733488143616309	0.00927850356294537	0.0000221729490022173	0.0108763616020009	0	0.00179758143588626	0.000586141930081641	0.00246017221205484	0.00602977667493797	0.00136521512176514	0.00885651811417515	0.00143742561708836	0	0.00627172546409289	0.00563268281369073	0.00699869791666667	0.00145646779587874	0	0.000228076177443266	0.00785525154457193	0.0117496173099996	0.00330817258410213	0.00179599167312952	0.00350357478565528	0.00107622274902195	0.013600472082502	0.000991005547476706	0.000449621908849377	0.00688828019903078	0.00179923167944499	0.000340246273493195	0.0107967595967376	0.00015416177499496
"ASV18011|Treponema_2"	0	0	0.0000245603693879556	0	0	0.0000294802629639456	0.000019121190102872	0.00002947331191606	0	0.0000230139003958391	0	0	0	0.0000195404095669845	0	0	0	0.0000164544048441768	0	0	0.00263763868536739	0.000510035702499175	0	0.00439679575980245	0.0257043527505545	0.0114994049367069	0	0.0000147918053398417	0	0.00154622395833333	0	0	0.000478959972630859	0.00794351279788173	0	0	0	0	0.000218153259936881	0.000042150223396184	0.000344697581731028	0.000381497377205532	0	0	0.00113415424497732	0.00203556741441677	0.0000237171961530708
"ASV17976|Treponema_2"	0.0254353153617954	0.0230302744283725	0.0172168189409569	0.00150517958858425	0.0320862429277741	0.0583119601426845	0.00460820681479215	0.0157682218750921	0.00812530342131487	0.0139694375402743	0.0432565021024763	0.0192206662922773	0.0073020033701554	0.00146553071752384	0.00821685348099853	0.0103424386381631	0.0523281596452328	0.00649948991344983	0.00848339009319493	0.00182481751824818	0.00498220640569395	0	0	0.0251962496737537	0.00742500275291416	0.0062443005301473	0.00127810571279619	0	0	0.0000162760416666667	0	0.0000159642401021711	0.001117573269472	0.0118522254444585	0.0470122598706439	0.0044419594321747	0.00359198334625903	0	0.00389767157753894	0	0.00784186998438089	0	0.0268886043533931	0.00572188092652327	0.00518470511989631	0	0.00257331578260818
"ASV18103|Treponema_2"	0	0	0	0	0.0000254854987512106	0	0.0058702053615817	0	0	0	0	0.0000362312276951505	0	0	0	0.0000742280285035629	0.0000221729490022173	0	0	0	0	0	0	0.0000401533859342689	0	0	0	0	0	0	0	0	0.0000912304709773064	0.00514437019291388	0	0	0	0	0	0	0	0	0	0	0.0000324044069993519	0	0
"ASV17980|Treponema_2"	0	0	0	0	0	0	0	0.00002947331191606	0	0	0	0	0	0.00375175863686103	0	0	0	0.0000329088096883536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00973885277682746	0	0	0.0000155313266859255	0	0	0	0	0	0	0	0	0	0.0000137538338811944	0
"ASV18022|Treponema_2"	0.000748097510641042	0.00198211378276977	0.000736811081638668	0.000147566626331789	0.000152912992507263	0	0.00028681785154308	0.00064841286215332	0.000919845670337532	0.00050630580870846	0.00315371437470799	0.000181156138475752	0.00213443175435312	0	0.0016857946679766	0.000890736342042755	0	0.00243525191693816	0	0	0.0000837345614402345	0	0.0000248138957816377	0	0	0	0	0	0	0	0.0000107886503398425	0	0.000273691412931919	0	0.0000275812612910788	0	0	0	0	0.000042150223396184	0	0.000013624906328769	0	0	0	0	0.0000237171961530708
"ASV18042|Treponema_2"	0	0	0	0	0	0	0	0	0	0	0.0000389347453667653	0	0	0.000722995153978427	0	0	0	0.0000164544048441768	0.00116238758488488	0.000217888658895305	0.00138162026376387	0.00189013230926165	0.00200992555831266	0.000461763938244092	0	0.000510054251224903	0.000454063871651279	0.000739590266992086	0.000248500712368709	0.000341796875	0.00501672240802676	0	0	0.000907830034043626	0.00321321694041069	0	0	0.00289116130686188	0.000334501665236551	0.00739033916879759	0	0.0013624906328769	0.000437608389114897	0	0	0	0.0028816393325981
