ASV,mean,region,LDA,pvalue,species
ASV18013_Treponema_2,2.84469994,Masai_Mara,2.435911609,0.039224651,Zebra
ASV14038_Ruminococcaceae_UCG_010,2.750648762,Laikipia,2.433578294,0.017230108,Zebra
ASV4544_Rikenellaceae_RC9,2.944799063,Laikipia,2.431874973,0.032931315,Zebra
ASV13850_Ruminococcaceae_UCG_010,2.92753671,Laikipia,2.427712455,0.011622406,Zebra
ASV13055_Ruminococcaceae_NK4A214,2.881466599,Masai_Mara,2.423264225,0.049610623,Zebra
ASV5682_Methanocorpusculum,2.824907388,Laikipia,2.416790899,0.036001098,Zebra
ASV7986_Erysipelotrichaceae_UCG_004,2.794460147,Laikipia,2.40733363,0.011604279,Zebra
ASV13000_Ruminococcaceae_NK4A214,2.840077747,Masai_Mara,2.405021302,0.025150792,Zebra
ASV18208_Treponema_2,2.67283518,Masai_Mara,2.401074983,0.023399685,Zebra
ASV13972_Ruminococcaceae_UCG_010,2.768992155,Laikipia,2.386833884,0.007632905,Zebra
ASV8531_Firmicutes,2.828734177,Laikipia,2.385477379,0.025150792,Zebra
ASV7999_Erysipelotrichaceae_UCG_004,2.729029832,Laikipia,2.383410289,0.015433036,Zebra
ASV14057_Ruminococcaceae_UCG_010,2.694180969,Laikipia,2.381942884,0.001983221,Zebra
ASV17711_Rhodospirillales,2.657095749,Laikipia,2.3776393,0.003771557,Zebra
ASV458_Bacteria,2.758605498,Laikipia,2.377402499,0.01725435,Zebra
ASV11719_Ruminococcaceae,2.688518293,Laikipia,2.373951864,0.002519586,Zebra
ASV18874_Mollicutes_RF39,2.666227923,Masai_Mara,2.372345698,0.032391409,Zebra
ASV13932_Ruminococcaceae_UCG_010,2.815378128,Laikipia,2.36891078,0.003178795,Zebra
ASV9049_Lachnospiraceae_UCG_008,2.944791962,Laikipia,2.365514995,0.036001098,Zebra
ASV2122_Bacteroidales,2.642927191,Laikipia,2.363302145,0.02145506,Zebra
