""	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"
"ASV18131|Treponema_2"	0.000705716302046577	0.000188089248348341	0.000446871896722939	0	0.000783937981795218	0.000219500924214418	0.0000362594727872657	0.0000966538439233728	0.000314218381775334	0.000437645467385466	0.000843472037623965	0.00297027993161449	0	0.000499448525586332	0.0002313743637205	0.0000897054074419606	0	0.000239754765125957	0.000160269252343938	0.000106854730993215	0.000079395325203252	0.0000764689688924235	0.000418297529056739	0.0000133209004928733
"ASV18135|Treponema_2"	0.000159355294010517	0.000329156184609597	0.00153922542204568	0	0.00172030834893951	0.000369685767097967	0.000495546128092631	0.00131449227735787	0.000145023868511693	0	0	0	0.0000563983982854887	0.0000416207104655276	0.0000771247879068333	0.000215292977860705	0.000516102394715111	0.0000171253403661398	0.0000320538504687876	0.0000356182436644049	0.0000476371951219512	0.00074939589514575	0	0.000213134407885973
"ASV18014|Treponema_2"	0.00259521478817128	0.00340911762631369	0.00456802383316783	0	0.00640216018466095	0.00220656192236599	0.00438739620725915	0.00848620749647214	0.00385521783793583	0.00284469553800553	0.00122686841836213	0.0020722883243822	0.00152275675370819	0.00422450211225106	0.00290503367782405	0.0038752736014927	0.00222956234516928	0.00077064031647629	0.00673130859844539	0.00375772470659472	0.0020166412601626	0.00443520019576056	0.00473572559682094	0.00706007726122286
"ASV18196|Treponema_2"	0.00036424067202404	0.000399689652740225	0.000322740814299901	0	0.0000217760550498672	0	0.0000483459637163542	0.000367284606908817	0.0000725119342558463	0.000835504983190435	0.0000255597587158777	0.000259036040547775	0.000169195194856466	0.000478638170353568	0.0000771247879068333	0	0	0.000171253403661398	0.0000480807757031813	0.0000534273654966074	0	0	0.0000149391974663121	0.00003996270147862
"ASV716|Bacteria"	0.0000682951260045075	0.000305645028566055	0.0000744786494538232	0	0.000391968990897609	0.000150184842883549	0	0.00021263845663142	0.000253791769895462	0.000318287612643975	0.0000255597587158777	0	0.0000281991991427443	0.000228913907560402	0.000102833050542444	0.0000179410814883921	0	0	0	0	0	0.0000917627626709082	0	0.000133209004928733
"ASV18056|Treponema_2"	0.00302775058619983	0.00674770178449674	0.00342601787487587	0	0.00531335743216759	0.000993530499075786	0.00128116803848339	0.000792561520171657	0.00153483594174875	0.00336191290855199	0.000792352520192209	0.00172690693698517	0.000761378376854097	0.000728362433146734	0.000488456990076611	0.000663820015070508	0.000743187448389761	0.00174678471734626	0.00134626171968908	0.000320564192979644	0.000190548780487805	0.00022940690667727	0.000941169440377663	0.000945783934994006
"ASV18148|Treponema_2"	0.00494001411432604	0.00108151317800296	0.00121648460774578	0	0.0000871042201994687	0.000138632162661738	0	0	0	0	0	0.000276305109917627	0	0	0	0.000143528651907137	0.000350949628406276	0.0000171253403661398	0.0000160269252343938	0	0	0.0000152937937784847	0.0000149391974663121	0.000106567203942987
"ASV18134|Treponema_2"	0.000409770756027045	0.0000940446241741706	0.000719960278053625	0	0.000805714036845085	0	0.0000362594727872657	0.0000193307687846746	0.00019336515801559	0.000477431418965963	0.00117574890093038	0.00108795137030065	0.000366589588855677	0.000208103552327638	0.000359915676898555	0.000143528651907137	0	0.000890517699039268	0.000336565429922269	0.000249327705650834	0.000301702235772358	0.0000611751751139388	0.000433236726523051	0.0000799254029572399
"ASV18157|Treponema_2"	0.000796776470052587	0.00155173629887382	0.000521350546176763	0	0.00102347458734376	0	0.000241729818581771	0.000173976919062071	0.000277962414647411	0.000795719031609938	0	0.000051807208109555	0.000140995995713722	0.000312155328491457	0.000334207414262944	0.000107646488930353	0.000165152766308836	0.000154128063295258	0	0.0000712364873288098	0.0000952743902439024	0.0000152937937784847	0.0000746959873315605	0.000106567203942987
"ASV18067|Treponema_2"	0.000227650420015025	0.000493734276914396	0.0000248262164846077	0	0.000805714036845085	0.00479436229205176	0.0000966919274327085	0	0.00172820109976434	0.0000397859515804969	0.00155914528166854	0.00136425648021828	0.0000563983982854887	0.000457827815120804	0.000359915676898555	0.00186587247479278	0.000103220478943022	0	0.000144242327109544	0.00210147637619989	0.00076219512195122	0.00142232282139908	0.00294302190086349	0.00145197815372319
