""	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"
"ASV11518|Ruminococcaceae"	0.000151175388646728	0.000283961835529305	0.000414385082137043	0.000376495120044021	0	0	0.000359803589569929	0.000189813350205631	0.000166563195590618	0.000181478792906772	0	0.000158037178246182	0.0000827517722671227	0.00048207067897801	0.000579340710271711	0.0000976586342440001	0.0000650522857746914	0	0.000137155397064874	0.000598674363908488	0.000236008091706001	0.0000243914337284746	0.000226280911588815	0.000362745987122517	0.000193779672512353	0.000265735327613697	0.000266780493010351	0.000188590287600189	0.000296286542006847	0.000388376937471313	0.00041030550664182	0.000400136046255727	0.000320441988950276	0.000155118307539943	0.0000978036103504164	0.00017678330155443	0.0002094621013238	0.000396722253382399	0.000171516780058316	0.0002033300951133	0.000308896210873147	0.000192412532469615	0.000534743901029021	0.000231682594845062	0.000125643925116221
"ASV5659|Methanosphaera"	0.00012597949053894	0	0.000562379754328844	0.00043441744620464	0	0.000700464057438053	0.000677277345072807	0.000210903722450701	0.0000757105434502809	0.0000518510836876491	0	0	0	0.000148329439685542	0.000289670355135855	0.000463878512659	0	0	0.000192017555890824	0.000256574727389352	0	0.000195131469827796	0	0.000120915329040839	0.000121112295320221	0.000189810948295498	0.000302351225411731	0.000226308345120226	0.000362127995786147	0	0.000034192125553485	0.000120040813876718	0.000685082872928177	0.000608541052656699	0.000181635276365059	0.000164155922871971	0.000307211081941574	0.000109440621622731	0	0	0.000480505216913784	0.0000962062662348074	0.000101167765059544	0.000173761946133797	0.000188465887674331
"ASV5660|Methanosphaera"	0.0000503917962155761	0	0.000177593606630161	0.000115844652321237	0.000019776525264511	0.000145930011966261	0.000232814087368778	0.000421807444901403	0.0000757105434502809	0.0000259255418438245	0	0	0	0.0000741647198427708	0.00026070331962227	0.000048829317122	0	0.0000214555441125987	0	0.000085524909129784	0.0000337154416722859	0.0000487828674569491	0	0.0000604576645204196	0.0000242224590640442	0.0000759243793181991	0.000302351225411731	0	0.000131682907558599	0.000105920982946722	0	0.0000800272092511454	0.000276243093922652	0.0000715930650184352	0.0000978036103504164	0.00017678330155443	0.0000837848405295202	0.000123120699325572	0.000600308730204105	0.0003388834918555	0	0.000112240643940609	0	0.0000434404865334492	0.0000314109812790552
"ASV5658|Methanosphaera"	0.0000251958981077881	0	0.0000295989344383602	0.0000868834892409279	0.000138435676851577	0.000204302016752765	0.000105824585167626	0.000253084466940842	0.000105994760830393	0.0000777766255314736	0.000216552484447594	0.000098773236403864	0.0000275839240890409	0.000111247079764156	0.00104281327848908	0.000268561244171	0.000146367642993056	0.000557844146927566	0.0000548621588259498	0.000940774000427625	0.0000337154416722859	0.000121957168642373	0	0	0.0000242224590640442	0.000683319413863792	0.000373492690214492	0	0.0000329207268896497	0	0.0000854803138837126	0.000160054418502291	0.0000994475138121547	0.000405694035104466	0.0000698597216788688	0.000101019029459674	0.000670278724236162	0.000670323807439226	0.00164370247555886	0.00103924270835687	0.0000343218012081274	0	0.0000289050757312984	0.000318563567911961	0
"ASV5624|Methanobrevibacter"	0.000881856433772582	0.000141980917764652	0.000562379754328844	0.000926757218569898	0.00096904973796104	0.000875580071797566	0.00118523535387741	0.0014130549404197	0.00304356384670129	0.000596287462407964	0.000374045200409481	0.000454356887457774	0.0000551678481780818	0.00107538843772018	0.00211459359249174	0.000122073292805	0.00118720421538812	0.000708032955715757	0	0.00243745991019885	0.00188806473364801	0.00265866627640373	0.000226280911588815	0.00108823796136755	0.00150179246197074	0.00402399210386455	0.00138725856365383	0.000584629891560585	0.00118514616802739	0.000441337428944674	0.000034192125553485	0.00082027889482424	0.00266298342541436	0.00297111219826506	0.00292013636617672	0.00145214854848282	0.00108920292688376	0.00143640815879834	0.00363043851123435	0.00232699997740777	0.00102965403624382	0.00113844081711189	0.000607006590357267	0.00124529394729221	0.000628219625581103
"ASV5625|Methanobrevibacter"	0.000277154879185669	0.000340754202635166	0.000325588278821962	0.000521300935445568	0.000613072283199842	0.000904766074190818	0.00118523535387741	0.00166613940736054	0.00145364243424539	0.000492585295032666	0.000314985431923774	0.000770431243950139	0.000220671392712327	0.000556235398820781	0.00156421991773362	0.0000732439756830001	0.00045536600042284	0.000364744249914178	0.000274310794129749	0.000769724182168056	0.000910316925151719	0.000439045807112542	0	0.00145098394849007	0.000775118690049414	0.00117682787943209	0.000213424394408281	0.000320603488920321	0.0000987621806689492	0.000264802457366804	0.000170960627767425	0.000100034011563932	0.000629834254143646	0.00150345436538714	0.00107583971385458	0.00122485573219855	0.000474780763000614	0.000670323807439226	0.00132925504545195	0.000835912613243567	0.000411861614497529	0.000224481287881217	0.00018788299225344	0.000376484216623226	0.000282698831511496
"ASV5623|Methanobrevibacter"	0.000226763082970092	0.000369150386188096	0.000266390409945242	0.000608184424686495	0.000336200929496687	0.000145930011966261	0.00150270910938029	0.00113888010123379	0.000984237064853652	0.00028518096028207	0.000531537916371368	0.000177791825526955	0.000275839240890409	0.000444988319056625	0.000695208852326053	0.000390634536976	0.000390313714648148	0.000643666323377961	0	0.00171049818259568	0.00134861766689144	0.00109761451778136	0	0.00117892445814818	0.000193779672512353	0.00174626072431858	0.000569131718422082	0.000113154172560113	0.000493810903344746	0.000105920982946722	0.000034192125553485	0.000400136046255727	0.00285082872928177	0.00094264202274273	0	0.00143952116980036	0.000195497961235547	0.000355682020273875	0.000871876965296438	0.000259810677089217	0.000240252608456892	0.0000801718885290062	0.000245693143716037	0.000217202432667246	0.000125643925116221
"ASV5628|Methanobrevibacter"	0	0	0.0000295989344383602	0.0000289611630803093	0	0	0.000190484253301727	0.000105451861225351	0.000136278978210506	0	0	0	0.0000827517722671227	0.000259576519449698	0.000231736284108684	0.000048829317122	0	0	0.000274310794129749	0.000171049818259568	0	0.0000975657349138982	0	0	0.0000242224590640442	0.000265735327613697	0	0.0000942951438000943	0.000493810903344746	0	0	0	0	0.000763659360196642	0.0000419158330073213	0.0000378821360473779	0.0000279282801765067	0	0	0	0	0	0.0000289050757312984	0.00146249637995946	0.000219876868953386
"ASV5622|Methanobrevibacter"	0.000176371286754516	0.000113584734211722	0.0031966849193429	0.0000289611630803093	0.00132502719272224	0.000379418031112279	0.000148154419234677	0.000231994094695771	0.0000302842173801124	0	0.000689030632333255	0.00128405207325023	0.0000827517722671227	0.0000370823599213854	0.000115868142054342	0.00024414658561	0.000390313714648148	0.00150188808788191	0	0.000042762454564892	0.000775455158462576	0.000365871505927118	0.0000646516890253758	0.00199510292917385	0.000944675903497723	0.000113886568977299	0.000782556112830363	0.0000377180575200377	0.000625493810903345	0.00111217032094058	0.000547074008855761	0.00126042854570554	0.00107182320441989	0	0.000181635276365059	0.000202038058919349	0.000642350444059655	0.000752404273656274	0.000443085015150649	0.00030499514266995	0.000102965403624382	0.000320687554116025	0.000072262689328246	0.000144801621778164	0.000345520794069607
"ASV3266|Sanguibacteroides"	0.000176371286754516	0	0.0000591978688767204	0.000115844652321237	0	0.0000583720047865044	0.00048679309177108	0.0000421807444901403	0.000105994760830393	0.00028518096028207	0	0	0	0	0.000144835177567928	0.000048829317122	0	0	0	0.000085524909129784	0.000101146325016858	0.000170740036099322	0	0.0000906864967806294	0.000266447049704486	0.000303697517272796	0	0.000282885431400283	0.000197524361337898	0.000141227977262296	0.000102576376660455	0.000180061220815077	0.000165745856353591	0.000680134117675134	0.000181635276365059	0.0000631368934122965	0.0000837848405295202	0.0000273601554056827	0.0000571722600194386	0.0000677766983711	0.0000686436024162548	0.0000320687554116025	0.000101167765059544	0.0000434404865334492	0.000282698831511496
"ASV18079|Treponema_2"	0	0.000624716038164471	0	0	0.00302580836547019	0	0	0	0	0	0.0015946137491141	0.0018174275498311	0.00171020329352054	0	0	0	0	0.000879677308616547	0	0	0	0	0	0	0	0	0	0	0	0	0.00020515275332091	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV17987|Treponema_2"	0	0.00380508859609269	0	0	0.000711954909522397	0	0	0	0	0	0.000964642885266556	0.00150135319333873	0.00137919620445205	0	0	0	0.00406576786091821	0.00120151047030553	0	0	0	0	0	0	0	0	0	0	0	0	0.00176089446600448	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV18090|Treponema_2"	0.0000503917962155761	0	0	0.0000579223261606186	0	0.00125499810290984	0.000190484253301727	0.0000210903722450701	0.0000757105434502809	0.00487400186663901	0	0	0	0	0.00026070331962227	0	0	0	0	0.000085524909129784	0.000674308833445718	0.000341480072198644	0.000323258445126879	0.000906864967806294	0	0.000151848758636398	0.000497990253619322	0.000603488920320603	0.000362127995786147	0.00123574480104509	0.000324825192758108	0.000360122441630154	0.0000883977900552486	0.000465354922619829	0.00148102609959202	0.0000505095147298372	0.00134055744847232	0.000916565206090371	0	0	0	0.000625340730526248	0.000520291363163372	0.000854329568491167	0.0000942329438371655
"ASV18071|Treponema_2"	0.0000503917962155761	0	0.000177593606630161	0.000695067913927423	0	0.000963138078977323	0.00103708093464274	0.000506168933881683	0.000953952847473539	0.000414808669501193	0	0	0	0.000778729558349093	0.000231736284108684	0.000830098391074001	0	0	0	0.000042762454564892	0.00205664194200944	0.000926874481682033	0.000355584289639567	0.000151144161301049	0.00327003197364596	0.000493508465568294	0.000586917084622772	0.000282885431400283	0.000526731630234396	0.000317762948840165	0.000307729129981365	0.000460156453194086	0.000541436464088398	0.000715930650184352	0	0.0000126273786824593	0.000656314584147908	0.000437762486490923	0.000971928420330456	0.00077943203126765	0.00109829763866008	0.00117050957252349	0.000317955833044283	0.00186794092093831	0.00232441261465008
"ASV18074|Treponema_2"	0.00393056010481494	0	0.000443984016575403	0.000231689304642474	0	0	0	0.000295265211430982	0.000272557956421011	0	0	0	0	0	0	0.0000732439756830001	0	0	0	0.000513149454778704	0.00205664194200944	0.00209766330064881	0.00164861807014708	0.000574347812943986	0.00029066950876853	0.0000379621896590995	0.000853697577633123	0.000358321546440358	0.000164603634448249	0	0.00119672439437198	0.00162055098733569	0.000574585635359116	0.000226711372558378	0	0	0.00141037814891359	0.00149112846960971	0	0	0.00144151565074135	0.000978097040053875	0	0.00201274254271648	0.00276416635255685
"ASV18097|Treponema_2"	0	0	0	0.0000579223261606186	0	0	0.00112174060277684	0.000147632605715491	0.000969094956163595	0	0	0	0	0	0	0	0	0	0	0.000171049818259568	0.000101146325016858	0.000731743011854237	0	0.000120915329040839	0.00133223524852243	0.000417584086250095	0.000231209760608971	0.000546911834040547	0.000230445088227548	0.000476644423260248	0	0.000380129243942941	0.0000441988950276243	0.000262507905067596	0.000782428882803331	0.000252547573649186	0.00100541808635424	0.000916565206090371	0.000128637585043737	0.0000564805819759167	0.000308896210873147	0.000721546996761056	0.0000578101514625968	0.0000868809730668983	0.000722452569418269
