""	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"
"ASV5637|Methanobrevibacter"	0.0000522670848033451	0	0.0000278737874902442	0.0000501077316229894	0.0000198471767391089	0.0000250093785169439	0.000167765128819652	0.000108124472893195	0.0000733756466228859	0.000339565780258494	0.0000253787782656143	0.0000425025501530092	0.0000995718410833416	0	0	0.000148487285776155	0.0000765198760378008	0.0000451773209848656	0.000342700479780672	0	0.000490875490875491	0.000104318798247444	0.000197711489508934	0.0000527767149133802	0.00035809900584895	0.000153854761105516	0.000155089035205211	0.000115305675345341	0.00010555811454015	0.000122877294733479	0.000231478929905975	0.000195895241252524	0.000142244138356132	0.000213405125006156	0.000123868154736099	0.0000632791242169208	0.000062392762439557
"ASV5669|Methanobacteriaceae"	0.000287468966418398	0.0000299913025222685	0	0	0.000258013297608415	0.0000750281355508316	0.000383463151587777	0.0000432497891572779	0.000146751293245772	0.000339565780258494	0.0000253787782656143	0.0000637538252295138	0.0000497859205416708	0.0000355075808685154	0.000166594475727185	0.000222730928664233	0	0.0000451773209848656	0.00026361575367744	0.000114744693057946	0.000317625317625318	0	0.0000247139361886168	0.000224301038381866	0.000477465341131934	0.0000279735929282757	0.0000563960128018949	0.000115305675345341	0.0000575771533855366	0.00100759381681453	0.000231478929905975	0.000331515023658118	0.000142244138356132	0.000180573567312901	0.0000371604464208297	0.000105465207028201	0.000280767430978007
"ASV5622|Methanobrevibacter"	0.000496537305631778	0.000749782563056714	0.0000557475749804884	0	0.0000198471767391089	0.000150056271101663	0.000862792091072499	0.0000648746837359168	0.0000733756466228859	0.000191005751395403	0	0.0000850051003060184	0	0.000319568227816639	0.000033318895145437	0.0000494957619253851	0	0.000361418567878925	0.00258343438603891	0.00229489386115892	0.000808500808500808	0.00017386466374574	0.000123569680943084	0.00403741869087359	0.0269767917739543	0.00225187423072619	0.0183569021670168	0.00390886239420704	0.000124750499001996	0.00129021159470153	0.00103614378148389	0.00111509598866821	0.000379317702283018	0.00126401497119031	0.000185802232104148	0.000232023455462043	0.000109187334269225
"ASV5631|Methanobrevibacter"	0.000313602508820071	0.000629817352967639	0.0000557475749804884	0	0.0000198471767391089	0.0000500187570338877	0.000167765128819652	0.000172999156629111	0.0000733756466228859	0.000169782890129247	0.0000253787782656143	0.000127507650459028	0	0.000426090970422185	0	0.0000247478809626926	0.0000382599380189004	0.0000451773209848656	0.000474508356619392	0.000114744693057946	0.00025987525987526	0	0.000098855744754467	0.000263883574566901	0.00308647238374572	0.000251762336354481	0.00221354350247438	0.000276733620828817	0.0000191923844618455	0.000405495072620481	0.000176364898975981	0.000165757511829059	0.000142244138356132	0.00062379959617184	0.0000123868154736099	0.0000421860828112806	0.0000311963812197785
"ASV17976|Treponema_2"	0	0.000599826050445371	0.00178392239937563	0.00210452472816556	0.00150838543217227	0.000450168813304989	0	0.000994745150617391	0.000550317349671644	0	0	0.0000425025501530092	0.000398287364333367	0.000887689521712886	0.000033318895145437	0.000544453381179236	0.00110953820254811	0.00140049695053083	0	0.000745840504876649	0	0	0.000469564787583718	0.0000527767149133802	0.000323994338625241	0	0.000126891028804264	0.000126836242879875	0.000115154306771073	0	0.000264547348463972	0.000316446158946385	0.000308195633104952	0.00154308321158297	0.0000867077083152692	0.000337488662490244	0.000171580096708782
"ASV18016|Treponema_2"	0	0	0.00172817482439514	0.000551185047852884	0	0.00110041265474553	0	0	0	0	0	0	0.000945932490291745	0.000319568227816639	0	0.000358844273959042	0.0000382599380189004	0	0	0.000057372346528973	0	0	0	0.00110831101318098	0	0.0000279735929282757	0.0000140990032004737	0.00112999561838434	0	0	0	0	0.00151727080913207	0.00469491275013543	0.0171061921690553	0.000379674745301525	0
"ASV18187|Treponema_2"	0	0.0000299913025222685	0	0	0	0	0	0	0.00168763987232637	0	0	0	0	0	0.000899610168926798	0	0	0	0	0.000946643717728055	0	0.001877738368454	0	0	0	0	0	0.0000115305675345341	0	0	0	0	0	0	0	0	0
"ASV17995|Treponema_2"	0	0.00200941726899199	0.00721931095997324	0.00410883399308513	0.00259998015282326	0.00817806677504064	0	0.002335488614493	0.00653043254943684	0.00229206901674484	0.00149734791767124	0.00293267596055763	0.0111022602807926	0.0100841529666584	0.0109952353979942	0.00324197240611273	0.00367295404981444	0.00519539191325954	0	0.00215146299483649	0.0000288750288750289	0.000660685722233813	0.000494278723772335	0.0014645538388463	0.001057244683935	0.00125881168177241	0.00194566244166537	0.00118764845605701	0.000412636265929679	0	0	0	0.00723074369977004	0.000344731355779175	0.00142448377946514	0.00242569976164863	0.00294805802526907
"ASV18068|Treponema_2"	0	0.000389886932789491	0	0.000250538658114947	0.000138930237173762	0.000500187570338877	0	0.00060549704820189	0.00062369299629453	0	0	0.000170010200612037	0.00059743104650005	0.000355075808685154	0.00066637790290874	0.0000989915238507703	0.0000382599380189004	0.000542127851818387	0	0.000860585197934596	0	0.000104318798247444	0.000370709042829251	0.000778456544972358	0.000272837337789676	0	0.000197386044806632	0.000611120079330305	0.000537386764931675	0	0	0	0.000165951494748821	0.000147742009619646	0.000383991279681907	0.000485139952329726	0.000062392762439557
"ASV145|Eggerthellaceae_DNF00809"	0.0000522670848033451	0.0000899739075668056	0	0.000100215463245979	0.0000198471767391089	0.0000250093785169439	0.0000958657878969443	0.000324373418679584	0.0000366878233114429	0.00010611430633078	0	0.0000212512750765046	0	0	0	0.000136113345294809	0	0.000180709283939462	0.000184531027574208	0.000229489386115892	0.000202125202125202	0	0.000098855744754467	0	0.000136418668894838	0	0.0000563960128018949	0.0000230611350690681	0.0000863657300783049	0.000897004251554398	0.000154319286603984	0.000376721617793315	0.0000948294255707546	0.000114910451926392	0.0000247736309472198	0.000105465207028201	0.0000935891436593355
