""	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"
"ASV5658|Methanosphaera"	0.000281000361286179	0.0000460850730448408	0.000137950062077528	0	0.000262835114771333	0.000439029744265174	0.000176986675431721	0.000458595387840671	0	0.00124761818346792	0.00050089867114529	0.000450798557444616	0.000320290396626275	0.0000299338461998982	0	0	0.000125667609173735	0	0.000580966639107993	0.000108156548879035	0.0000958667725766249	0.000103310359077291	0.000458450775970387	0.000111674446653117	0.000335125526365637	0.000454005727456869	0.00019207990524058	0.000422731951183649	0.00145534729878721	0.0000697236618867223	0.000107213311604769	0.000840118909137909	0.000215059930033836	0.000123937920872523	0.000119710301071407	0.000426210358490268	0.000128441839929357	0.0000899135032099121	0.0000560852495793606	0
"ASV5636|Methanobrevibacter"	0.000200714543775842	0.000138255219134522	0.0000275900124155056	0.0000341378486327792	0.000204427311488815	0.0000823180770497201	0	0.000589622641509434	0	0.0000453679339442882	0.0000883938831432865	0	0.000266908663855229	0.0000598676923997964	0.000121263566361487	0.0000232374401635916	0	0	0.000424552543963533	0.0000618037422165912	0.000150647785477553	0.0000442758681759818	0.000152816925323463	0.00026801867196748	0.000087424050356253	0.000104770552490047	0.0000320133175400967	0.000110277900308778	0.00135244395442852	0.000162688544402352	0.0000428853246419075	0.000226185860152514	0.000243734587371681	0.000068854400484735	0.000139662017916642	0.0000947134129978374	0.0000963313799470177	0.000233775108345771	0.000112170499158721	0.000168944603064655
"ASV5624|Methanobrevibacter"	0.000883143992613705	0.00059910594958293	0.000110360049662022	0.000546205578124467	0.000116815606565037	0.000384151026232027	0.000404540972415362	0.000294811320754717	0	0.000317575537610017	0.000265181649429859	0.00034346556757685	0.000213526931084183	0.0000898015385996947	0.000090947674771115	0.000185899521308733	0.0000628338045868677	0.0000275687150221928	0.00071503586351753	0.00013905841998733	0.000136952532252321	0.000132827604527945	0.000441471117601114	0.00026801867196748	0.000378837551543763	0.000279388139973458	0.000512213080641547	0.000257315100720482	0.00495406100698273	0.000557789295093778	0.000600394544986706	0.00287579165051053	0.00157710615358146	0.00300205186113444	0.000678358372737974	0.00142070119496756	0.000561933049690937	0.000575446420543437	0.000224340998317443	0.000371678126742241
"ASV5626|Methanobrevibacter"	0.000883143992613705	0	0.00024831011173955	0.000136551394531117	0.00134337947549793	0.000301832949182307	0.000126419053879801	0.000393081761006289	0	0.00136103801832865	0.000825009576004007	0.0013738622703074	0.000400362995782843	0.0000299338461998982	0.000424422482265203	0.000162662081145141	0.000377002827521206	0.000358393295288507	0.000692690992782607	0.0000463528066624434	0.0000273905064504643	0.000250896586330564	0.000135837266954189	0.000379693118620597	0.00349696201425012	0.00366696933715164	0.000608253033261837	0.000900602852521688	0.000911429621462698	0.000464824412578149	0.00124367441461532	0.000710869846193615	0.000845902391466422	0.00133577536940386	0.00021946888529758	0.000520923771488106	0.000545877819699767	0.00052149831861749	0.000130865582351841	0.000067577841225862
"ASV5630|Methanobrevibacter"	0	0.0000460850730448408	0.0000275900124155056	0.000170689243163896	0.000146019508206296	0.0000548787180331467	0.0000252838107759602	0.000131027253668763	0	0.0000453679339442882	0.000383040160287575	0	0.0000266908663855229	0.000119735384799593	0.0000606317831807433	0.000116187200817958	0.000219918316054037	0.0000551374300443856	0.0000446897414698456	0.000169960291095626	0.0000547810129009285	0	0.000135837266954189	0.000111674446653117	0.000539114977196894	0.000733393867430328	0.00009603995262029	0.000294074400823408	0.000470415288496876	0.000139447323773445	0.000235869285530491	0.000258498125888587	0.000172047944027069	0.000179021441260311	0.0000399034336904691	0.0000315711376659458	0.000176607529902866	0	0	0
"ASV5625|Methanobrevibacter"	0.000883143992613705	0.000184340292179363	0.000165540074493034	0.000204827091796675	0.000116815606565037	0.000356711667215454	0.000202270486207681	0.000163784067085954	0.0000795608242501392	0.00011341983486072	0.000294646277144288	0.000257599175682638	0.000346981263011797	0.000209536923399288	0.000121263566361487	0.000278849281963099	0.000345585925227773	0	0.000245793578084151	0.000370822453299547	0.000178038291928018	0.000147586227253273	0.00164702686181954	0.000290353561298104	0.000364266876484388	0.000419082209960187	0.000704292985882127	0.000496250551389501	0.00213156927600147	0.000464824412578149	0.000428853246419075	0.000840118909137909	0.000673854447439353	0.000771169285429032	0.000618503222202271	0.000726136166316753	0.00041743597977041	0.000197809707061807	0.000243036081510563	0.0000506833809193965
"ASV5623|Methanobrevibacter"	0.00180643089398258	0.000553020876538089	0.000331080148986067	0.00112654900488171	0.000438058524618889	0.00117989243771266	0.00103663624181437	0.000491352201257862	0	0.000476363306415026	0.000324110904858717	0.000193199381761978	0.000293599530240752	0.000478941539198372	0.00054568604862669	0.000720360645071339	0.000377002827521206	0.0000827061450665785	0.00375393828346703	0.000818899584369834	0.000260209811279411	0.000988827722596927	0.00225829456311339	0.000938065351886181	0.00304527108740948	0.00251449325976112	0.00150462592438454	0.00226069695632995	0.00460124954061007	0.00111557859018756	0.00160819967407153	0.00281116711903839	0.00173481676893961	0.00235482049657794	0.00117715129386884	0.00265197556393945	0.00086698241952316	0.000881152331457138	0.000411291830248645	0.000388572587048707
"ASV5669|Methanobacteriaceae"	0.000120428726265505	0	0	0.000102413545898337	0.000116815606565037	0.0000823180770497201	0.000151702864655761	0.0000327568134171908	0	0.0000907358678885764	0.0000883938831432865	0.0000214665979735532	0	0.0000598676923997964	0	0.0000929497606543663	0	0	0	0.0000309018711082956	0.0000273905064504643	0.0000295172454506545	0.000101877950215642	0	0.0000437120251781265	0.000139694069986729	0.00019207990524058	0.00018379650051463	0.000735023888276369	0.000162688544402352	0.000364525259456214	0.000323122657360734	0.000329758559385215	0.000358042882520622	0.000598551505357036	0.000268354670160539	0.000321104599823392	0.0000539481019259472	0.0000560852495793606	0.000118261222145259
"ASV5622|Methanobrevibacter"	0.00188671671149291	0.000691276095672612	0.000634570285556628	0.000955859761717817	0.00148939898370422	0.000576226539348041	0.00179515056509317	0.000753406708595388	0	0.000793938844025043	0.0017384130351513	0.000965996908809892	0.000800725991565686	0.000299338461998982	0.000697265506578549	0.000673885764744156	0.000628338045868677	0.000358393295288507	0.00864746497441512	0.00149874074875234	0.0026842696321455	0.00193337957701787	0.0033449926987469	0.00116141424519242	0.00903381853681281	0.0123454634350772	0.00755514293946282	0.00351051315982944	0.00208746784270489	0.000836683942640668	0.00107213311604769	0.00122786609797079	0.0015340941675747	0.0013770880096947	0.000897827258035554	0.000426210358490268	0.00085092718953199	0.000935100433383086	0.000822583660497289	0.000185839063371121
"ASV5631|Methanobrevibacter"	0.0000802858175103368	0.000138255219134522	0.0000275900124155056	0.000136551394531117	0.000146019508206296	0.0000548787180331467	0.000303405729311522	0.0000327568134171908	0	0.00011341983486072	0.000265181649429859	0.000107332989867766	0.0000533817327710457	0	0.0000303158915903717	0.0000697123204907747	0	0	0.000513932026903224	0	0	0.0000295172454506545	0.0000339593167385472	0	0.000247701476009384	0.000436543968708528	0.00009603995262029	0	0.00027930907754502	0.0000464824412578149	0.0000643279869628613	0.000161561328680367	0	0.000289188482035887	0.0000997585842261727	0.0000473567064989187	0.0000802761499558481	0.0000539481019259472	0.0000560852495793606	0.0000168944603064655
