""	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Masai_Mara"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"	"Laikipia"
"ASV5634|Methanobrevibacter"	0.00174909854152091	0.000256703460829386	0.000145480996544826	0.0000407323679762123	0	0	0.000447444701671109	0	0.0000268293119175804	0.000708992772847864	0	0.00261172980088172	0	0	0	0	0.000751571467614102	0	0.00132984618112505	0	0	0.00055418981711736	0.00158699024625096	0.000863117423202166	0	0	0	0	0	0.0000511450088864453	0.000422556853103872	0	0	0
"ASV5629|Methanobrevibacter"	0.00231419191647382	0.00126018062588971	0.0000181851245681033	0.000712816439583715	0.000106892423465025	0.000571736059729602	0.000427990584207147	0.000159667890787163	0.00153821388327461	0.000114353673039978	0	0.0000417876768141075	0	0.0000657231739911493	0	0	0.000051243509155507	0	0.000192088892829174	0.0000758058158221899	0.0000779982528391364	0.0000284199906214031	0.0000356627021629429	0	0.0000839877377902826	0.00114916963226572	0	0.0000206211077659092	0.000171117504251201	0.0000511450088864453	0.0000576213890596189	0.0000630596544330937	0.000179223822982009	0.0000547515193546621
"ASV5638|Methanobrevibacter"	0.000242182874979818	0.000186693426057735	0	0	0.000149649392851035	0.000134526131701083	0.000486352936599031	0.000415136516046623	0	0.00036593175372793	0.00014024121488961	0.0000626815152211613	0.0000440897667651338	0.000131446347982299	0.000023071776296057	0	0.0000341623394370046	0.0000239923224568138	0.000192088892829174	0.000121289305315504	0.0001715961562461	0.0000284199906214031	0	0.0000588489152183295	0.000125981606685424	0.000061783313562673	0.0000974862474758025	0.000505217140264775	0.0001604226602355	0.000127862522216113	0.000105639213275968	0.000630596544330937	0.000482525677259254	0.000146004051612432
"ASV5627|Methanobrevibacter"	0.000592002583284	0.00284707474738046	0.000200036370249136	0	0.000021378484693005	0.000538104526804332	0.00118670116530164	0.00105380807919527	0	0.000686122038239868	0.000120206755619666	0.00254904828566056	0	0.000109538623318582	0	0	0.000256217545777535	0.0000959692898272553	0.000753579502637528	0	0	0	0.000142650808651772	0.000235395660873318	0.000209969344475707	0.00016063661526295	0.000181045888169348	0.000195900523776137	0.000181812348266901	0.000498663836642842	0.0000384142593730793	0.000331063185773742	0.000124078031295237	0
"ASV18037|Treponema_2"	0.000941822291588181	0.000280040139086602	0.000891071103837061	0	0.00506670087224218	0.000369946862177978	0.00132287998754936	0.00287402203416893	0	0.00253865154148751	0.000180310133429499	0.0000626815152211613	0.000969974868832944	0.000109538623318582	0.000484507302217198	0	0.000256217545777535	0.00392274472168906	0.00242327526338342	0.00224385214833682	0.00112317484088356	0.000198939934349822	0.0002496389151406	0.000549256542037742	0.000195971388177326	0.00116152629497825	0.00038994498990321	0.00327875613477956	0.000342235008502401	0.00223759413878198	0.00289067301782422	0.00316874763526296	0.00159922795891639	0.000456262661288851
"ASV18063|Treponema_2"	0.000107636833324364	0.0000466733565144337	0.000872885979268958	0	0.00333504361210877	0.0000336315329252707	0.00132287998754936	0	0	0.00116640746500778	0.000160275674159554	0	0.000132269300295401	0.000153354072646015	0.000669081512585654	0	0.000170811697185023	0.00107965451055662	0.000413729923016682	0.000181933957973256	0.000109197553974791	0.000966279681127705	0	0.000353093491309977	0.0000279959125967609	0.000370699881376038	0.000264605528862893	0.00559863075844434	0	0.00134255648326919	0.00132529194837124	0.00119813343422878	0.000413593437650789	0.000657018232255945
"ASV18167|Treponema_2"	0	0	0.0000545553737043099	0	0.000855139387720198	0	0.0000389082349279225	0	0	0.0000686122038239868	0	0	0.000176359067060535	0.0000438154493274329	0.000669081512585654	0	0.000256217545777535	0.000215930902111324	0.0000591042747166689	0.000257739773795446	0.000187195806813927	0.000156309948417717	0.0003744583727109	0.000647338067401624	0	0.000210063266113088	0.000027853213564515	0.000103105538829546	0	0.00029408380109706	0.0000384142593730793	0.000220708790515828	0.0000965051354518508	0.000164254558063986
"ASV18165|Treponema_2"	0	0.000303376817343819	0.00185488270594654	0	0.000748246964255174	0	0.0000194541174639612	0	0	0	0.00110189525984694	0	0.000308628367355937	0.0000219077246637164	0.0000692153288881711	0	0	0.000683781190019194	0	0.000030322326328876	0.0000155996505678273	0.0000142099953107015	0	0.0000196163050727765	0	0	0	0	0	0.000038358756664834	0.0000192071296865396	0.0000788245680413671	0.000193010270903702	0.0000912525322577702
"ASV18049|Treponema_2"	0	0	0	0	0	0	0.000369628231815264	0	0	0	0	0	0.000242493717208236	0.000657231739911493	0.00193802920886879	0	0.000153730527466521	0.00250719769673704	0.0108308583418296	0.00142514933745717	0.000826781480094846	0.00137836954513805	0.0000713254043258858	0.000961198948566048	0	0.00168050612890471	0.00027853213564515	0.00208273188435683	0	0.00301755552430027	0.000288106945298095	0.00132425274309497	0.00064796305231957	0.00177029912580074
"ASV18080|Treponema_2"	0	0	0	0	0	0	0	0	0	0	0	0	0.000242493717208236	0.00210314156771678	0.00258403894515839	0	0.000170811697185023	0.00445057581573896	0	0.0011977318899906	0.000265194059653064	0.00230201924033365	0	0.00139275766016713	0	0	0	0.00125788757372046	0	0.000102290017772891	0	0.000378357926598562	0.000565244364789412	0.00118628291935101
