Group,sample_date,sample_month,sample_year,species,species_short,tax_name,Order,Family,Genus,broad_diet,digestive_system,fermenter,diet_guild,region
AN81,13-May-18,may,2018,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,hervivore,ruminant,foregut,mixed_feeder,Masai_Mara
AN9,13-May-18,may,2018,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,hervivore,ruminant,foregut,mixed_feeder,Masai_Mara
AN104,24-Mar-18,march,2018,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,hervivore,ruminant,foregut,mixed_feeder,Masai_Mara
AN158,24-Mar-18,march,2018,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,hervivore,ruminant,foregut,mixed_feeder,Masai_Mara
AN202,24-Mar-18,march,2018,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,hervivore,ruminant,foregut,mixed_feeder,Masai_Mara
AN209,24-Mar-18,march,2018,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,hervivore,ruminant,foregut,mixed_feeder,Masai_Mara
AN42,24-Mar-18,march,2018,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,hervivore,ruminant,foregut,mixed_feeder,Masai_Mara
AN77,24-Mar-18,march,2018,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,hervivore,ruminant,foregut,mixed_feeder,Masai_Mara
AN8,24-Mar-18,march,2018,Impala,Impala,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,hervivore,ruminant,foregut,mixed_feeder,Masai_Mara
AN172,21-Jun-18,june,2018,Warthog,Warthog,Phacochoerus africanus,Artiodactyla,Suidae,Phacochoerus,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN201,21-Jun-18,june,2018,Warthog,Warthog,Phacochoerus africanus,Artiodactyla,Suidae,Phacochoerus,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN132,21-Jun-18,june,2018,Warthog,Warthog,Phacochoerus africanus,Artiodactyla,Suidae,Phacochoerus,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN40,22-Jun-18,june,2018,Warthog,Warthog,Phacochoerus africanus,Artiodactyla,Suidae,Phacochoerus,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN65,22-Jun-18,june,2018,Warthog,Warthog,Phacochoerus africanus,Artiodactyla,Suidae,Phacochoerus,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN97,14-Jun-18,june,2018,Warthog,Warthog,Phacochoerus africanus,Artiodactyla,Suidae,Phacochoerus,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN200,23-Jun-18,june,2018,Warthog,Warthog,Phacochoerus africanus,Artiodactyla,Suidae,Phacochoerus,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN151,28-Mar-18,march,2018,Warthog,Warthog,Phacochoerus africanus,Artiodactyla,Suidae,Phacochoerus,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN120,8-Mar-18,march,2018,Warthog,Warthog,Phacochoerus africanus,Artiodactyla,Suidae,Phacochoerus,omnivore,non-ruminant,hindgut,mixed_feeder,Masai_Mara
AN109,22-Jun-18,june,2018,Plains_zebra,Zebra,Equus quagga,Perissodactyla,Equidae,Equus,hervivore,non-ruminant,hindgut,grazer,Masai_Mara
AN37,22-Jun-18,june,2018,Plains_zebra,Zebra,Equus quagga,Perissodactyla,Equidae,Equus,hervivore,non-ruminant,hindgut,grazer,Masai_Mara
AN108,23-Jun-18,june,2018,Plains_zebra,Zebra,Equus quagga,Perissodactyla,Equidae,Equus,hervivore,non-ruminant,hindgut,grazer,Masai_Mara
AN170,4-May-18,may,2018,Plains_zebra,Zebra,Equus quagga,Perissodactyla,Equidae,Equus,hervivore,non-ruminant,hindgut,grazer,Masai_Mara
AN210,17-Mar-18,march,2018,Plains_zebra,Zebra,Equus quagga,Perissodactyla,Equidae,Equus,hervivore,non-ruminant,hindgut,grazer,Masai_Mara
