Group,sample_date,sample_month,sample_year,species,species_short,tax_name,Order,Family,Genus,broad_diet,digestive_system,fermenter,diet_guild,region
LM0277,29-Jul-16,july,2016,Cattle,Cattle,Bos taurus,Artiodactyla,Bovidae,Bos,herbivore,ruminant,foregut,grazer,Laikipia
LM0282,29-Jul-16,july,2016,Cattle,Cattle,Bos taurus,Artiodactyla,Bovidae,Bos,herbivore,ruminant,foregut,grazer,Laikipia
LM0284,29-Jul-16,july,2016,Cattle,Cattle,Bos taurus,Artiodactyla,Bovidae,Bos,herbivore,ruminant,foregut,grazer,Laikipia
LM0285,29-Jul-16,july,2016,Cattle,Cattle,Bos taurus,Artiodactyla,Bovidae,Bos,herbivore,ruminant,foregut,grazer,Laikipia
ELA102,30-Oct-14,october,2014,Common_eland,Eland,Taurotragus oryx,Artiodactyla,Bovidae,Taurotragus,herbivore,ruminant,foregut,mixed_feeder,Laikipia
ELA103,30-Oct-14,october,2014,Common_eland,Eland,Taurotragus oryx,Artiodactyla,Bovidae,Taurotragus,herbivore,ruminant,foregut,mixed_feeder,Laikipia
ELA104,30-Oct-14,october,2014,Common_eland,Eland,Taurotragus oryx,Artiodactyla,Bovidae,Taurotragus,herbivore,ruminant,foregut,mixed_feeder,Laikipia
ELA105,30-Oct-14,october,2014,Common_eland,Eland,Taurotragus oryx,Artiodactyla,Bovidae,Taurotragus,herbivore,ruminant,foregut,mixed_feeder,Laikipia
ELA106,30-Oct-14,october,2014,Common_eland,Eland,Taurotragus oryx,Artiodactyla,Bovidae,Taurotragus,herbivore,ruminant,foregut,mixed_feeder,Laikipia
ELA108,30-Oct-14,october,2014,Common_eland,Eland,Taurotragus oryx,Artiodactyla,Bovidae,Taurotragus,herbivore,ruminant,foregut,mixed_feeder,Laikipia
ELA109,30-Oct-14,october,2014,Common_eland,Eland,Taurotragus oryx,Artiodactyla,Bovidae,Taurotragus,herbivore,ruminant,foregut,mixed_feeder,Laikipia
ELA117,2-Nov-14,november,2014,Common_eland,Eland,Taurotragus oryx,Artiodactyla,Bovidae,Taurotragus,herbivore,ruminant,foregut,mixed_feeder,Laikipia
ELA201,3-Mar-15,march,2015,Common_eland,Eland,Taurotragus oryx,Artiodactyla,Bovidae,Taurotragus,herbivore,ruminant,foregut,mixed_feeder,Laikipia
ELA202,3-Mar-15,march,2015,Common_eland,Eland,Taurotragus oryx,Artiodactyla,Bovidae,Taurotragus,herbivore,ruminant,foregut,mixed_feeder,Laikipia
ELA204,16-Mar-15,march,2015,Common_eland,Eland,Taurotragus oryx,Artiodactyla,Bovidae,Taurotragus,herbivore,ruminant,foregut,mixed_feeder,Laikipia
LM0134,20-Jul-16,july,2016,Common_eland,Eland,Taurotragus oryx,Artiodactyla,Bovidae,Taurotragus,herbivore,ruminant,foregut,mixed_feeder,Laikipia
LM0146,21-Jul-16,july,2016,Common_eland,Eland,Taurotragus oryx,Artiodactyla,Bovidae,Taurotragus,herbivore,ruminant,foregut,mixed_feeder,Laikipia
LM0147,21-Jul-16,july,2016,Common_eland,Eland,Taurotragus oryx,Artiodactyla,Bovidae,Taurotragus,herbivore,ruminant,foregut,mixed_feeder,Laikipia
LM0179,23-Jul-16,july,2016,Common_eland,Eland,Taurotragus oryx,Artiodactyla,Bovidae,Taurotragus,herbivore,ruminant,foregut,mixed_feeder,Laikipia
LM0204,25-Jul-16,july,2016,Common_eland,Eland,Taurotragus oryx,Artiodactyla,Bovidae,Taurotragus,herbivore,ruminant,foregut,mixed_feeder,Laikipia
LM0205,25-Jul-16,july,2016,Common_eland,Eland,Taurotragus oryx,Artiodactyla,Bovidae,Taurotragus,herbivore,ruminant,foregut,mixed_feeder,Laikipia
LM0210,25-Jul-16,july,2016,Common_eland,Eland,Taurotragus oryx,Artiodactyla,Bovidae,Taurotragus,herbivore,ruminant,foregut,mixed_feeder,Laikipia
LM0211,25-Jul-16,july,2016,Common_eland,Eland,Taurotragus oryx,Artiodactyla,Bovidae,Taurotragus,herbivore,ruminant,foregut,mixed_feeder,Laikipia
LM0237,28-Jul-16,july,2016,Common_eland,Eland,Taurotragus oryx,Artiodactyla,Bovidae,Taurotragus,herbivore,ruminant,foregut,mixed_feeder,Laikipia
LM0320,6-Aug-16,august,2016,Common_eland,Eland,Taurotragus oryx,Artiodactyla,Bovidae,Taurotragus,herbivore,ruminant,foregut,mixed_feeder,Laikipia
LM0321,6-Aug-16,august,2016,Common_eland,Eland,Taurotragus oryx,Artiodactyla,Bovidae,Taurotragus,herbivore,ruminant,foregut,mixed_feeder,Laikipia
LM0334,6-Aug-16,august,2016,Common_eland,Eland,Taurotragus oryx,Artiodactyla,Bovidae,Taurotragus,herbivore,ruminant,foregut,mixed_feeder,Laikipia
LM0335,6-Aug-16,august,2016,Common_eland,Eland,Taurotragus oryx,Artiodactyla,Bovidae,Taurotragus,herbivore,ruminant,foregut,mixed_feeder,Laikipia
LM0336,6-Aug-16,august,2016,Common_eland,Eland,Taurotragus oryx,Artiodactyla,Bovidae,Taurotragus,herbivore,ruminant,foregut,mixed_feeder,Laikipia
LM0341,6-Aug-16,august,2016,Common_eland,Eland,Taurotragus oryx,Artiodactyla,Bovidae,Taurotragus,herbivore,ruminant,foregut,mixed_feeder,Laikipia
LM0342,6-Aug-16,august,2016,Common_eland,Eland,Taurotragus oryx,Artiodactyla,Bovidae,Taurotragus,herbivore,ruminant,foregut,mixed_feeder,Laikipia
ELE101,26-Oct-14,october,2014,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,herbivore,non-ruminant,hindgut,mixed_feeder,Laikipia
ELE102,26-Oct-14,october,2014,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,herbivore,non-ruminant,hindgut,mixed_feeder,Laikipia
ELE103,28-Oct-14,october,2014,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,herbivore,non-ruminant,hindgut,mixed_feeder,Laikipia
ELE104,29-Oct-14,october,2014,African_elephant,Elephant,Loxodonta africana,Proboscidea,Elephantidae,Loxodonta,herbivore,non-ruminant,hindgut,mixed_feeder,Laikipia
