region	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia
ASV13450.Ruminococcaceae_UCG.010	0.000412133	0.000535889	0.001897646	0.001228156	0.000148031	0	0.000433311	0.001357484	0.003240203	0.005924249	0.002801919	0.00176943	0.003940887	0.00908316	0.003022047	0.001856643	0	2.83712E-05	0.001269714	0	0.003317486	0.003363537	0.001975941	0.005067446	0.007469525	0.003700798	0.008599608	0.003953661	0.003459764	0.004422127	0.005463718	0.006233998	0.002154355	0.003855156	0.003692734
ASV1849.Bacteroides	0.000137378	0.002395738	0.001067426	0.0008948	0.001184249	0.004019997	0.0012793	0.000853275	0.000733631	0.001630833	0.000902313	0.002143732	0.000656814	0.001225294	0.000767255	0.001552275	0.000737	0.000141856	0.000601443	0.000507046	0.000626926	0.000302032	0.001074912	0.000252471	0.000380392	0.000502826	0.000987902	0.000363388	0.001153255	0.001328258	0.000872798	0.003609993	0.000318602	0.000550737	0.000692388
ASV9138.Lachnospiraceae	0.002390373	0.001859849	0.004388306	0.00385992	0.00172703	0.002336408	0.00319825	0.000969631	0.001895213	0.001664115	0.002042076	0.003334694	0.004926108	0.001624847	0.001518853	0.001643585	0.010208817	0.003248503	0.002355654	0.001521139	0.001946084	0.003185063	0.002339514	0.00149679	0.001279502	0.001609043	0.00205678	0.002064043	0.001281394	0.002024783	0.001728141	0.003355545	0.001335093	0.002726146	0.002288726
ASV4116.Alistipes	0.0075283	0.002994673	0.000948823	0.002456313	0.003083983	0.005600509	0.004704523	0.004421518	0.001283854	0.002862278	0.003751722	0.004287464	0.001970443	0.002397315	0.00344482	0.002313194	0	0.002681079	0.001102646	0.00108403	0.00309545	0.002553542	0.00275051	0.001226286	0.001296793	0.001307347	0.001247024	0.002732677	0.001761917	0.00168462	0.003037338	0.001033699	0.001668867	0.001349305	0.000519291
ASV5890.Bacillales	0.000549511	0.000252183	0.001304631	0.000192996	2.46719E-05	0.000103077	0.000185705	0.000581779	0.00030568	0.001397857	0.001139763	0.00149721	0	0.001438389	0.000422773	0.000152184	1.36482E-05	0	1.67068E-05	0.005927195	0.000300402	0.000878638	0	3.60672E-05	3.45811E-05	0	0.000194341	0.001366339	6.40697E-05	0.004924273	0.000872798	0.00036577	9.10291E-05	0.001665978	0.000480825
ASV2674.Bacteroidales_RF16.	0.000192329	0.000851117	0	0.000192996	0.000172703	0	0	0.000232711	0.000733631	0	0	0.003606914	0	0	1.56583E-05	3.04368E-05	0	0	0	0	0.000953451	0.000411862	0.000110653	0	0	0.000522939	0.000161951	0.000799453	0.00049654	0.000161983	0.000122192	0	0	6.88421E-05	0
ASV11282.Romboutsia	0.001621057	0.001260915	0.003202277	0.002052776	0.000320734	0	0.00026824	0.000193926	6.11359E-05	0.000565799	0.000427411	0.000204165	0	0	0.00036014	0.000152184	0	0.000524867	0.001319834	0	0.000718353	0.000411862	0.000837799	0.000631177	0.000881819	2.0113E-05	0.000226732	0.000261639	8.00871E-05	0.000145784	0.000698239	0.000159031	0.00019723	0.001555831	7.6932E-05
ASV3864.Prevotellaceae_UCG.003	0.00074184	0.016045141	0.002668564	0.010456874	0.022920162	0.102424024	0.009574117	0.000193926	0.008314483	0.002429608	0.004416584	0	0.003940887	0.008337329	0.005229863	0	0	0	0.003023924	0	0.002873413	0.002663372	0.003319581	0.004616605	0.011740296	0.005611537	0.00072878	0.001002951	0.023962071	0.008633676	0.005463718	0	0.001941954	0.001542063	0.002288726
ASV7150.Clostridiales_vadinBB60.	0.000576986	0.000567412	0.000474411	0.000385992	0.000764828	0.004793073	0.000969792	0.001318698	0.000550223	0.000499235	0.002849409	0.00231387	0.004926108	0.001065473	0.002787173	0.002739309	0.000327556	0.000453939	0.004560946	0.008864566	0.001854658	0.00236134	0.002671472	0.00618553	0.001746347	0.001468252	0.001473756	0.004128087	0.001729882	0.00131206	0.000418943	0.001319954	0.001213721	0.003290651	0.000961649
ASV4117.Alistipes	0.003077261	0.007880717	0	0.009105902	0.002220468	0	0.001753879	0.004421518	0.000366815	0	4.74901E-05	0.000238192	0.012807882	0.002956689	0	3.04368E-05	0	0	0.008436915	0	0.001018756	0.000878638	0.00012646	0.000468874	0.000743494	0.000482713	0.000194341	0.002354754	0.003075346	0.000680327	0	4.77092E-05	0.002321242	0.000137684	0.002461823
