region	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia
ASV11431.Ruminococcaceae	2.27625E-05	7.04953E-05	4.96426E-05	0.002526291	6.53211E-05	0	0	1.9263E-05	3.62183E-05	5.96623E-05	0	6.90524E-05	8.45785E-05	4.15878E-05	0	1.78929E-05	0	5.13663E-05	4.80338E-05	3.5524E-05	3.1737E-05	0	4.47594E-05	0
ASV5780.Fibrobacter	0	0	0	0.002565458	0	0	0	0	1.20728E-05	0	0	0	0	0	0	0	0	0	0	1.7762E-05	1.58685E-05	0	0	0
ASV15831.Kiritimatiellae_WCHB1.41	0.008126195	0.004441207	0.004790508	0	0.0028959	0.010784099	0.008666827	0.003544392	0.00900629	0.017640157	0.021135219	0.017884579	0.013983648	0.011998087	0.016869945	0.013920699	0.006885178	0.015974933	0.006388498	0.010515098	0.011250754	0.005604594	0.005788885	0.0111743
ASV17038.Pirellulaceae_p.1088.a5	2.27625E-05	0	0	0.003015882	4.35474E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV17990.Treponema_2	0.001251935	0.001315913	7.44639E-05	0	0.000631437	6.92769E-05	9.6432E-05	3.8526E-05	0.001158986	0.001252909	0.000920034	0.000673261	0.000761207	0.000332703	0.000308127	0.000250501	0.001071944	0.000547908	6.40451E-05	0.00062167	0.000285633	0.000274885	0.000895188	0.001305222
ASV11150.Pseudobutyrivibrio	0.002367295	0.001997368	0.004294083	3.91673E-05	0.004507153	0.00110843	0.000819672	0.000365997	0.001014113	0.000994372	0.001252268	0.001139365	0.000845785	0.001039696	0.000359481	0.000554681	0.000391672	0.000787617	0.001425003	0.000781528	0.000253896	0.000412327	0.001223424	0.000612655
ASV4376.Rikenellaceae_RC9	0.014454156	0.006250587	0.005609611	0	0.007533695	0.004237435	0.004881871	0.006722786	0.002040299	0.001849532	0.00291344	0.002744834	0.019001973	0.01413986	0.009320837	0.009358002	0.014141414	0.008954866	0.008630076	0.014387211	0.017344251	0.012782139	0.021812756	0.013025585
ASV2848.Bacteroidia	0.03259583	0.024438387	0.00829031	0	0.009493326	0.001801198	0.002422854	0.008745401	0.002800884	0.015094565	0.005980219	0.006283771	0.004933747	0.009024558	0.010579022	0.00293444	0.003071532	0.00866379	0.002529781	0.011474245	0.005395284	0.003588772	0.011876166	0.032124449
ASV1855.Bacteroides	0	0	0	0.014824824	2.17737E-05	0	0	0	0	0	0	0	0	2.07939E-05	0	0	0	0	0	0	0	0	0	0
ASV17992.Treponema_2	0.002390057	0.002185356	0.000992851	0	0.000892721	0.000623492	0.000349566	0.000327471	0.000446693	0.001849532	0.000562243	0.002313256	0.000422893	0.001206047	0.000898703	0.000268394	0.000700886	0.000958838	0.000144101	0.000674956	0.000380844	0.000458141	0.001417382	0.000346283
ASV17993.Treponema_2	0.00826277	0.009963342	0.010077442	0	0.014544821	0.009225369	0.009209257	0.015217768	0.00604846	0.013682557	0.012420455	0.004143146	0.005497604	0.009440436	0.005623315	0.005886774	0.008864152	0.005239367	0.006580633	0.007957371	0.008711797	0.006047463	0.010712421	0.010495052
ASV7941.Erysipelotrichaceae_UCG.004	0.000819448	0.00105743	0.001042494	0	0.000979816	0.000750499	0.000747348	0.001271358	0.001243496	0.001153471	0.00153339	0.00077684	0.001578799	0.002370506	0.001848761	0.00237976	0.002308802	0.001318403	0.001360958	0.002042629	0.002078771	0.001389695	0.001954495	0.001771373
ASV17507.Acinetobacter	0	0	0	0	0	0	0.001940694	0.00057789	0.000833021	0	0	1.72631E-05	0	0	0	0	0	0	0	0	0	0	0	0
ASV17994.Treponema_2	0.007488846	0.005099163	0.006254964	0	0.011910205	0.001477906	0.002555448	0.002350086	0.00252321	0.002585367	0.003756804	0.004246724	0.001635185	0.003264644	0.001925793	0.001878758	0.001793445	0.002636806	0.001937364	0.002415631	0.002792853	0.00189365	0.004699739	0.005061066
ASV9144.Lachnospiraceae	0.001547847	0.001080929	0.001191422	0	0.002264463	0.000242469	0.000192864	0.000115578	0.000301819	0.000198874	0.000690025	0.001070313	8.45785E-05	0.000166351	0.000179741	3.57859E-05	0.0001443	0.00065064	0.000240169	0	0.000190422	0.000122171	0.000134278	9.32302E-05
ASV2678.Bacteroidales_RF16.	0	0	0	0.005483422	0	0	0	0	0	0	0	0	0	0	2.56772E-05	0	0	0	0	0	0	0	0	0
