region	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia
ASV13220.Ruminococcaceae_UCG.005	0.089981542	0.000629635	0.000656806	0.000588512	0.000304777	0.000794141	0.00503068	0.001350796	0.001012248	0.001990847	0.000464738	0.016853729	0.000708215	0.002653244	0.000654479	0.010549504	0.004977986	0.000902942	0.001691185	0.000544307	0.008036499	0.003147293	0.001684377	0.003592358	0.003045096	0.001220416	0.002234543	0.000575382	0.000794663	0.00201649	0.000517314	0.000590253	0.004763316	0.000440634	0.002192257	0.002654867	0.002855977	0.001309664	0.003620923	0.007905971	0.008721869	0.000980272	0.000291498	0.002900053	0.000583043	0.016152535	0.000568801
ASV13447.Ruminococcaceae_UCG.010	2.56358E-05	0.001539107	0.00355162	0.002471751	0.004800244	0.004117768	0.000400168	0	0.000328981	0	0.010998799	9.05141E-05	0.003242881	0.000819384	0.004437148	2.44768E-05	0.000265493	0.002429735	0.006927748	0.009743087	0.006529656	0.001618608	0.005598078	0.005719676	0.014079643	0.004788976	0.001192876	5.90136E-05	0	0.001252175	0.00545335	1.59528E-05	0.003851676	0.004355982	0.007431613	0.014702686	0.018380253	0.007487864	0.005525906	0.001460428	0.005965328	0.006494302	0.001522267	0.00332129	0.009620212	0.000178709	0.007975068
ASV1847.Bacteroides	0.001615053	2.33198E-05	0	0.001147599	0.000152389	2.94126E-05	3.81112E-05	0.000117461	7.59186E-05	4.57666E-05	0	0.001194786	0	9.75457E-05	9.98358E-05	0	0	6.56685E-05	0.003137862	0.001524058	0.002092838	0.001019124	0.000891729	0.000662278	0.014032554	0.000231725	0.003897849	0.002478571	0.003162095	0.003691477	0.001325617	0.000989072	0.00717916	0.001888431	0.000427421	0.000745226	0.000489596	0.00324569	0.001686856	0.001221704	0.002164316	0.002940816	0.003303644	0.003839736	0.004065106	0.000329924	0.001872304
ASV4038.Prevotellaceae_UCG.004	0.000410172	0.018679166	0.030091466	0.023834746	0.002666802	0.002441248	0.010423416	0.000234921	0.030468671	0.00020595	0.023779095	0.002932657	0.026315789	1.95091E-05	0.006689	2.44768E-05	0	1.64171E-05	0.010799136	0.012900065	0.030848437	0.020262574	0	0.010596452	0.013200647	0.026787369	0	0	0	0.033743678	0.014603339	0	0	0.026161071	0.035986102	0.035708741	0.031150551	0.038677808	0.018613579	0.003089367	0.014622591	0.006467072	0.008210526	0.001879364	0.016130861	0	0.019019292
ASV15828.Kiritimatiellae_WCHB1.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.72153E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.013811336	0	0	0	0	0	0.000174502	0	0	0	0	0	0	0	0
ASV13448.Ruminococcaceae_UCG.010	0	0.002658458	0	0.002000942	0.000203185	0.000294126	0.002610618	0.001526987	0	0.000389016	0.009759498	0.000362056	0	0.000409692	3.32786E-05	0	0.018672979	0.00188797	0.002322833	0.007212062	0.022937508	0.003686829	0.013970424	0.011900939	7.84818E-05	0.005746771	0.002772177	0.000752423	0.000744996	0.000439074	0.020304569	0.000143575	0.004558197	0.012639901	0.00806585	0.029902189	0.04373725	0.008128461	0.002355781	0.025262596	0.005513083	0.002709363	0.020032389	0.003450902	0.019289011	0.012977015	0.00475186
ASV5172.Gastranaerophilales	0	0	0.000754111	0.002766008	0	0	0.000114334	0.000205556	2.53062E-05	0	3.87282E-05	7.24113E-05	0.000670941	0.002341098	0.000288415	4.89536E-05	0	0	0.000407515	0.000435445	0.000418568	0.000479588	2.47703E-05	0.000260897	1.56964E-05	0	0.000739247	0.000619643	0.000397331	0.000975721	0.00504381	0	0.014973676	8.81268E-05	0.002468012	0	0	0.001936026	0.000407172	0.002822558	0.000344568	0.000326757	0.001716599	0.001182703	0.002688477	1.37468E-05	2.37001E-05
ASV13221.Ruminococcaceae_UCG.005	0.004255537	0.001655706	0.004305731	0.004413842	0.003377949	0.003500103	0.002439117	0.003171434	0.001568985	0.001922197	0.001975137	0.00237147	0.00398837	0.002341098	0.002839775	0.001444132	0.001460209	0.004317704	0.003198989	0.006504463	0.002469549	0.001528685	0.003170593	0.004094084	0.000470891	0.00237904	0.001192876	0.00529647	0.00687052	0.001300961	0.006962182	0.00201005	0.006609385	0.001598872	0.002261196	0.001909641	0.001448388	0.002106852	0.003809967	0.002864686	0.001270593	0.001592942	0.007319838	0.001296113	0.00289902	0.000288684	0.001730104
ASV17400.Mailhella	0.000333265	0.002192062	0.001970419	0.004708098	0.00053336	0.000382364	0.001410115	0.000146826	0.000480818	0.001144165	0.000929476	0.001864591	0.001155509	0.00528698	0.001231309	0.001346224	0.002013319	0.00119845	0.006540609	0.003646854	0.001213846	0.006294587	0.002080701	0.003030425	0.012368739	0.001637521	0.001864919	0.001195025	0.001705213	0.001561153	7.54416E-05	0.000350961	0.001595369	0.001196007	0.002068167	0.002716969	0.002101183	0.003487693	0.001526895	0.001530641	0.005071605	0.004383994	0.003190283	0.002008976	0.007077496	0.001168481	0.000426601
ASV17459.Escherichia.Shigella	0.000307629	0.000419757	0.018293276	0.000235405	0.010997384	0.008441425	0.004611456	0.005755565	0.028165806	0.009519451	0.002865884	0.001755974	0.075070822	5.85274E-05	0.099514132	0.006755599	0.001371712	0.005548989	0.002119076	0.001496843	0.00401825	0.001438763	0.000619256	0.004415188	0.000455195	0.004171044	1.68011E-05	0.00073767	0.000827773	0	0.000808303	0	4.5582E-05	7.55373E-05	0.000648026	0.000465766	0.000428397	0.002576622	0.001381477	0.007147672	0.006137612	0.001415948	0.000777328	0.007371644	0.001943477	0.004165292	0.005024411
