region	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia
ASV5172.Gastranaerophilales	0	0.001889452	0	0.000150323	0.000396888	0.004226162	0	0.00088641	0.002678211	0	0	0.000446248	0.003683608	0.002627468	0.001166084	0.000470175	3.82512E-05	0.000361419	0	0.00667928	0	3.47705E-05	0.002594643	0.006805233	0.005080556	0.00388784	0.003848702	0.003504969	0.001573685	0	1.10224E-05	0	0.012728436	0.007155987	0.007814048	0.009723072	0.0122708
ASV13221.Ruminococcaceae_UCG.005	0.007160591	0.006028252	0.004875874	0.004209049	0.004226861	0.003100853	0.0076206	0.003134864	0.003356936	0.00432928	0.004339331	0.002188742	0.003683608	0.003337594	0.004764285	0.003946994	0.000688521	0.003794895	0.00716997	0.003239307	0.006005486	0.003268428	0.003039439	0.003072906	0.00545563	0.005272359	0.005441755	0.004000738	0.006198783	0.005357253	0.006690622	0.00655466	0.004740572	0.008321297	0.004619081	0.00383861	0.00776475
ASV17400.Mailhella	0.001515745	0.001649522	0.002814076	0.000551185	0.001647087	0.001650454	0.001126315	0.001383664	0.001577576	0.001167208	0.000913543	0.000573748	0.001692469	0.001597784	0.001732467	0.001818834	0.000535516	0.002123334	0.003954028	0.003869969	0.003666811	0.0027121	0.004250272	0.001477105	0.002079959	0.002810992	0.000972749	0.002571079	0.00217821	0.001757081	0.002942992	0.002019137	0.001090332	0.001592043	0.001151674	0.001012381	0.002853312
ASV17459.Escherichia.Shigella	0.000287469	0	0	0.000952047	0.000555644	0	0.000407391	0	0	0.000275885	0.000659781	0.000382499	0	0	3.33167E-05	0.000173222	0.000726772	0	0	0	2.88725E-05	3.47705E-05	0	0	0	0	1.40978E-05	0.000288238	0	0	4.40898E-05	0	0	0	0	0.000991289	0.000280654
ASV9137.Lachnospiraceae	0.002613354	0.001409591	0.002451868	0.000100215	0.000694555	0.000525144	0.001150279	0.000324296	0.000880508	0.001591647	0.001015048	0.001168746	0.000497785	0.000887658	0.0007996	0.000816619	3.82512E-05	0.000632482	0.000843526	0.000114666	0.000866176	0.00069541	0.000222398	0.000342899	0.00028983	0.001426474	0.000408837	0.000876242	0.001045925	0.002764637	0.000518055	0.001235591	0.00149328	0.00105042	0.000743016	0.000590555	0.00067045
ASV1848.Bacteroides	0.026969816	0.006118226	0.023404196	0.014080273	0.018494999	0.014103879	0.01790122	0.003848316	0.021755879	0.015704251	0.020123328	0.016426188	0.011747723	0.015622781	0.01352657	0.015961198	0.005163906	0.019335893	0.027704555	0.009660589	0.025494442	0.014082058	0.007981615	0.009179152	0.014593811	0.01941123	0.007894774	0.003977679	0.006208379	0.018553788	0.017095807	0.025224139	0.003247292	0.00559677	0.007430157	0.008415413	0.00801422
ASV19333.Akkermansia	0.01578466	0.029541433	0.000362208	5.01077E-05	0.031909827	0.001725475	0	0.011155792	0.000348534	2.1222E-05	0	0.05860728	0.002190253	0.00067462	0.000433117	3.71191E-05	0	0.001897447	0	0.001719986	0.001385881	0.001216968	0.010057329	0.000989133	0.000323928	0.000895042	0.004962429	0.03741324	1.91913E-05	0	0.002325735	0.00314925	0.002796938	0.001477153	0.001077373	0.002931685	0.008232506
ASV17506.Acinetobacter	0	0	0	0.000300646	3.96888E-05	0	0	0.014852769	0	0	2.53762E-05	0.001317495	0	0	0	1.2373E-05	0.018819569	0	0	0	0	0.000104312	0	0	0	0	0	1.15295E-05	0.004318038	0.002383732	1.10224E-05	0	0	0	0.000260055	6.32738E-05	0
ASV1935.Bacteroidales	0.001907749	0	0.000139311	0.000851831	9.92221E-05	0.000275076	0	0	9.17196E-05	4.24439E-05	2.53762E-05	0.00010625	0.000348449	7.10126E-05	0.000233217	0.000915604	0	0	0	0.000257998	0	0.000139082	0.000444796	0.000619857	0	0	0.001522564	0.000219061	1.91913E-05	0	0	0	0.005048709	0.000246192	0.00017337	0.000611647	0.000124735
ASV13222.Ruminococcaceae_UCG.005	0.005148308	0.004618661	0.005516703	0.007616375	0.004584061	0.00232564	0.005032471	0.003372681	0.001430825	0.004923495	0.002918263	0.003038739	0.002688038	0.001988354	0.004930868	0.007621781	0.000573767	0.003117235	0.00279418	0.001490655	0.003291468	0.009735744	0.00392903	0.002307976	0.001551445	0.005076568	0.002114672	0.003332027	0.002015084	0.009706948	0.005312817	0.00381225	0.003816161	0.006023503	0.002600555	0.004365891	0.007546464
