region	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Masai_Mara	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia	Laikipia
ASV4371.Rikenellaceae_RC9	0.012700466	0.003663579	0.005194859	0.001706643	0.010145035	0.024922199	0.007499764	0.010694433	0.001845915	0.001348686	0.005921921	0.00382995	0.00057513	0.001987187	0.006627488	0.004649915	0.01195922	0.004947335	0.001342474	0.021159556	0.018693719	0.019525332	0.017071627	0.014011198	0.00813762	0.004798545	0.00533254	0.022816565	0.007578183	0.018050113
ASV3866.Prevotellaceae_UCG.003	0.017046042	0.017401999	0.064967037	0.007395452	0.00480476	0.030400453	0.017382757	0.018567115	0.004899307	0.000668676	0.003314988	0.011008018	0.004964281	0.003322576	0.004353981	0	0.025167445	0.000650642	0.000571265	0.005782153	0.018260572	0.004410032	0.01718078	0.00744169	0.004400958	0.001777239	0.001029304	0.002867322	0	0.000580559
ASV2449.Bacteroidales_BS11	0.022762545	0.000471032	0.029416674	0.017608848	0.006619561	0.001980402	0.020358427	0.003075708	0	0.005428746	0.000579318	0	0.005055091	0.000492822	0	0	0	0	0.00227078	0	0.001664197	0	0.036217172	0.005190896	0.004138007	0	0	0.016776886	0.014812443	0.011149375
ASV4372.Rikenellaceae_RC9	0.005302638	0.005783221	0.003880497	0.006006324	0.004700632	0.014737275	0.003729685	0.003555405	0.010131712	0.001326019	0.002687393	0.003632275	0.003359971	0.002321034	0.000536205	0.013988069	0.003887527	0.016744826	0.005298486	0.008907642	0.007067138	0.004746676	0.006723863	0.010086374	0.004359439	0.003345391	0.003286333	0.052734327	0.006759882	0.006584069
ASV17988.Treponema_2	0.008949819	0.005940231	0.003880497	0.017132576	0.009579769	0.005786888	0.007876772	0.005784588	0.003788983	0.006210758	0.00347591	0.002619192	0.001785931	0.001542057	0.002466541	0.01356651	0.016783501	0.012300818	0.005655527	0.002844194	0.005676507	0.003366437	0.001462659	0.004079566	0.002311195	0.003648567	0.00563017	0.009090022	0.004814933	0.003694468
ASV15679.Saccharofermentans	0.009881014	0.014497305	0.003734457	0.005979864	0.012718483	0.013374142	0.020344962	0.014955275	0.00928509	0.00026067	0.014289852	0.016765298	0.015498244	0.004165143	0.026660089	0.006233952	0.002654135	0.002013307	0.010639817	0.000812627	0.004605038	0.002962464	0.008055537	0.002560279	0.002145121	0.003606749	0.002244627	0.000402645	0.003949194	0.009579227
ASV9141.Lachnospiraceae	0.015545784	0.012482336	0.01566803	0.005252226	0.006411305	0.010030606	0.019267797	0.004458365	0.002165133	0.005168076	0.004232242	0.002038522	0.008717762	0.001971289	0.017694749	0.004241131	0.01384834	0.001485428	0.003441874	0.002469136	0.005744899	0.001817876	0.008972428	0.002264862	0.00705814	0.005070358	0.00355916	0.005087972	0.00276325	0.006847959
ASV5779.Fibrobacter	0.003647181	0	0.005299174	0.009670975	0	0.004732389	0	0.00180592	0.00058292	0.001938028	0	0.001235468	0.003662671	0.005611815	0	0	0	0	0.011810911	0.00275043	0.004924199	0.006463558	0.00089506	0	0.016690424	0.009722542	0.003385543	0.007211011	0.007495167	0.025003628
ASV5045.Chishuiella	0	0	0	0	0	0	0	0.00011287	0	0	0	0	0	0	0	3.83235E-05	0	0.003756537	0	0	0	0	0	0	0	0	0	0	0	0
ASV15830.Kiritimatiellae_WCHB1.41	0.004966374	0.003009368	0.010786114	0.005080239	0.002543697	0.002520511	0.002275512	0.004345495	0.012171934	0.011401501	0.004441441	0.000518896	0.003238891	0.002511804	0.001823095	0.007588048	0.001545643	0.011036362	0.004384462	0.005719644	0.004582241	0.002558492	0.003121794	0.001252005	0.00541124	0.011698413	0.011173531	0.013275092	0.005170717	0.032247424
ASV17989.Treponema_2	0.024624935	0.004108442	0.002357506	0.001825711	0.015663816	0.002520511	0.022862836	0.004345495	0.019652746	0.013917537	0.007675968	0.00403998	0.014590144	0.005166685	0.005748113	0.002209987	0.003278637	0.002872646	0.008454727	0.003219253	0.00426308	0.005790271	0.002204903	0.004487522	0.004041131	0.000564535	0.00029763	0.002086435	0.020267786	0.000831255
ASV4375.Rikenellaceae_RC9	0.009208484	0.002355158	0.005883335	0.003307447	0.005920417	0.005041023	0.003998977	0.002454923	0.00220677	0.005315411	0.0037012	0.00459594	0.005751302	0.004403606	0.00047186	0	0	0.011380098	0.000685518	0.00146898	0.020403511	0.001110924	0.01084987	0.001252005	0.002933972	0.005498986	0.003807185	0.047072891	0.015903512	0.007125045
ASV17990.Treponema_2	0.004216244	0.007798189	0.004631561	0.006681043	0.004046114	0.00360073	0.005816693	0.004035103	0.002900723	0.016138903	0.008512761	0.004855388	0.006417242	0.011191835	0.016214825	0.007639146	0.009586111	0.00437035	0.005141388	0.0041569	0.004901402	0.008887393	0.001702797	0.006428833	0.006615276	0.004432643	0.003869192	0.000939506	0.012238944	0.001675705
